Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,,
2336287,MALARIA_IRS_COVERAGE,COUNTRY,ZWE,AFR,Africa,YEAR,2021,,,,,,,,,3 113 471,3113471,,,,2025-12-19T14:55:21Z,2021,01/01/2021,31/12/2021,,,
1268609,MALARIA_IRS_COVERAGE,COUNTRY,NAM,AFR,Africa,YEAR,2017,,,,,,,,,753 281,753281,,,,2025-12-19T14:55:21Z,2017,01/01/2017,31/12/2017,,,
4839861,MALARIA_IRS_COVERAGE,COUNTRY,MEX,AMR,Americas,YEAR,2022,,,,,,,,,29 018,29018,,,,2025-12-19T14:55:21Z,2022,01/01/2022,31/12/2022,,,
7364267,MALARIA_IRS_COVERAGE,COUNTRY,COL,AMR,Americas,YEAR,2015,,,,,,,,,252 500,252500,,,,2025-12-19T14:55:21Z,2015,01/01/2015,31/12/2015,,,
8174166,MALARIA_IRS_COVERAGE,COUNTRY,IND,SEAR,South-East Asia,YEAR,2021,,,,,,,,,16 159 858,16159858,,,,2025-12-19T14:55:21Z,2021,01/01/2021,31/12/2021,,,
9479853,MALARIA_IRS_COVERAGE,COUNTRY,CRI,AMR,Americas,YEAR,2018,,,,,,,,,4095,4095,,,,2025-12-19T14:55:21Z,2018,01/01/2018,31/12/2018,,,
3560537,MALARIA_IRS_COVERAGE,COUNTRY,BOL,AMR,Americas,YEAR,2017,,,,,,,,,20 000,20000,,,,2025-12-19T14:55:21Z,2017,01/01/2017,31/12/2017,,,
10203309,MALARIA_IRS_COVERAGE,COUNTRY,GNQ,AFR,Africa,YEAR,2019,,,,,,,,,61 561,61561,,,,2025-12-19T14:55:21Z,2019,01/01/2019,31/12/2019,,,
7528988,MALARIA_IRS_COVERAGE,REGION,SEAR,,,YEAR,2017,,,,,,,,,41 174 108,41174108,,,,2025-12-19T14:55:21Z,2017,01/01/2017,31/12/2017,,,
6045578,MALARIA_IRS_COVERAGE,COUNTRY,TZA,AFR,Africa,YEAR,2015,,,,,,,,,14 684 925,14684925,,,,2025-12-19T14:55:21Z,2015,01/01/2015,31/12/2015,,,
4465702,MALARIA_IRS_COVERAGE,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2021,,,,,,,,,47 762,47762,,,,2025-12-19T14:55:21Z,2021,01/01/2021,31/12/2021,,,
375109,MALARIA_IRS_COVERAGE,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2019,,,,,,,,,118 730,118730,,,,2025-12-19T14:55:21Z,2019,01/01/2019,31/12/2019,,,
10209677,MALARIA_IRS_COVERAGE,COUNTRY,TZA,AFR,Africa,YEAR,2018,,,,,,,,,2 842 635,2842635,,,,2025-12-19T14:55:21Z,2018,01/01/2018,31/12/2018,,,
8186902,MALARIA_IRS_COVERAGE,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2018,,,,,,,,,3 830 195,3830195,,,,2025-12-19T14:55:21Z,2018,01/01/2018,31/12/2018,,,
4389589,MALARIA_IRS_COVERAGE,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2020,,,,,,,,,129 105,129105,,,,2025-12-19T14:55:21Z,2020,01/01/2020,31/12/2020,,,
882048,MALARIA_IRS_COVERAGE,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2018,,,,,,,,,72 000,72000,,,,2025-12-19T14:55:21Z,2018,01/01/2018,31/12/2018,,,
6196135,MALARIA_IRS_COVERAGE,COUNTRY,MMR,SEAR,South-East Asia,YEAR,2022,,,,,,,,,21 566,21566,,,,2025-12-19T14:55:21Z,2022,01/01/2022,31/12/2022,,,
4630797,MALARIA_IRS_COVERAGE,COUNTRY,MYS,WPR,Western Pacific,YEAR,2020,,,,,,,,,305 688,305688,,,,2025-12-19T14:55:21Z,2020,01/01/2020,31/12/2020,,,
4529257,MALARIA_IRS_COVERAGE,COUNTRY,IDN,WPR,Western Pacific,YEAR,2016,,,,,,,,,6240,6240,,,,2025-12-19T14:55:21Z,2016,01/01/2016,31/12/2016,,,
3225550,MALARIA_IRS_COVERAGE,COUNTRY,KEN,AFR,Africa,YEAR,2024,,,,,,,,,1 474 077,1474077,,,,2025-12-19T14:55:21Z,2024,01/01/2024,31/12/2024,,,
8989656,MALARIA_IRS_COVERAGE,COUNTRY,SEN,AFR,Africa,YEAR,2019,,,,,,,,,51 652,51652,,,,2025-12-19T14:55:21Z,2019,01/01/2019,31/12/2019,,,
9357447,MALARIA_IRS_COVERAGE,COUNTRY,VNM,WPR,Western Pacific,YEAR,2022,,,,,,,,,304 446,304446,,,,2025-12-19T14:55:21Z,2022,01/01/2022,31/12/2022,,,
3403031,MALARIA_IRS_COVERAGE,COUNTRY,ZAF,AFR,Africa,YEAR,2018,,,,,,,,,1 600 747,1600747,,,,2025-12-19T14:55:21Z,2018,01/01/2018,31/12/2018,,,
6688348,MALARIA_IRS_COVERAGE,COUNTRY,GMB,AFR,Africa,YEAR,2019,,,,,,,,,507 872,507872,,,,2025-12-19T14:55:21Z,2019,01/01/2019,31/12/2019,,,
5327023,MALARIA_IRS_COVERAGE,COUNTRY,ETH,AFR,Africa,YEAR,2020,,,,,,,,,6 349 834,6349834,,,,2025-12-19T14:55:21Z,2020,01/01/2020,31/12/2020,,,
1620010,MALARIA_IRS_COVERAGE,REGION,SEAR,,,YEAR,2019,,,,,,,,,31 677 253,31677253,,,,2025-12-19T14:55:21Z,2019,01/01/2019,31/12/2019,,,
6454125,MALARIA_IRS_COVERAGE,COUNTRY,MOZ,AFR,Africa,YEAR,2020,,,,,,,,,6 880 851,6880851,,,,2025-12-19T14:55:21Z,2020,01/01/2020,31/12/2020,,,
1034224,MALARIA_IRS_COVERAGE,COUNTRY,MWI,AFR,Africa,YEAR,2022,,,,,,,,,2 363 146,2363146,,,,2025-12-19T14:55:21Z,2022,01/01/2022,31/12/2022,,,
10044732,MALARIA_IRS_COVERAGE,COUNTRY,THA,SEAR,South-East Asia,YEAR,2023,,,,,,,,,261 496,261496,,,,2025-12-19T14:55:21Z,2023,01/01/2023,31/12/2023,,,
6002296,MALARIA_IRS_COVERAGE,COUNTRY,LAO,WPR,Western Pacific,YEAR,2021,,,,,,,,,5606,5606,,,,2025-12-19T14:55:21Z,2021,01/01/2021,31/12/2021,,,
2840361,MALARIA_IRS_COVERAGE,COUNTRY,CPV,AFR,Africa,YEAR,2020,,,,,,,,,233 171,233171,,,,2025-12-19T14:55:21Z,2020,01/01/2020,31/12/2020,,,
8699095,MALARIA_IRS_COVERAGE,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2015,,,,,,,,,1 685 264,1685264,,,,2025-12-19T14:55:21Z,2015,01/01/2015,31/12/2015,,,
9110591,MALARIA_IRS_COVERAGE,COUNTRY,PRY,AMR,Americas,YEAR,2020,,,,,,,,,922,922,,,,2025-12-19T14:55:21Z,2020,01/01/2020,31/12/2020,,,
7604695,MALARIA_IRS_COVERAGE,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2022,,,,,,,,,1267,1267,,,,2025-12-19T14:55:21Z,2022,01/01/2022,31/12/2022,,,
9325882,MALARIA_IRS_COVERAGE,COUNTRY,SWZ,AFR,Africa,YEAR,2021,,,,,,,,,67 346,67346,,,,2025-12-19T14:55:21Z,2021,01/01/2021,31/12/2021,,,
3415884,MALARIA_IRS_COVERAGE,COUNTRY,RWA,AFR,Africa,YEAR,2021,,,,,,,,,5 170 303,5170303,,,,2025-12-19T14:55:21Z,2021,01/01/2021,31/12/2021,,,
8471943,MALARIA_IRS_COVERAGE,COUNTRY,VNM,WPR,Western Pacific,YEAR,2018,,,,,,,,,319 866,319866,,,,2025-12-19T14:55:21Z,2018,01/01/2018,31/12/2018,,,
8541350,MALARIA_IRS_COVERAGE,COUNTRY,SLB,WPR,Western Pacific,YEAR,2016,,,,,,,,,16 179,16179,,,,2025-12-19T14:55:21Z,2016,01/01/2016,31/12/2016,,,
