Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd,,,
8863069,MALARIA_ITN_COVERAGE,COUNTRY,ETH,AFR,Africa,YEAR,2017,,,,,,,,,18.61,18.6068068,,,,2025-12-19T14:59:35Z,2017,01/01/2017,31/12/2017,,,
7573622,MALARIA_ITN_COVERAGE,COUNTRY,NGA,AFR,Africa,YEAR,2020,,,,,,,,,51.99,51.986534,,,,2025-12-19T14:59:35Z,2020,01/01/2020,31/12/2020,,,
9269273,MALARIA_ITN_COVERAGE,COUNTRY,UGA,AFR,Africa,YEAR,2018,,,,,,,,,81.21,81.2076024,,,,2025-12-19T14:59:35Z,2018,01/01/2018,31/12/2018,,,
4187650,MALARIA_ITN_COVERAGE,COUNTRY,SSD,AFR,Africa,YEAR,2019,,,,,,,,,40.13,40.1267956,,,,2025-12-19T14:59:35Z,2019,01/01/2019,31/12/2019,,,
9901360,MALARIA_ITN_COVERAGE,COUNTRY,SEN,AFR,Africa,YEAR,2015,,,,,,,,,61.2,61.2049437,,,,2025-12-19T14:59:35Z,2015,01/01/2015,31/12/2015,,,
5587477,MALARIA_ITN_COVERAGE,COUNTRY,TCD,AFR,Africa,YEAR,2022,,,,,,,,,23.05,23.0457153,,,,2025-12-19T14:59:35Z,2022,01/01/2022,31/12/2022,,,
4194042,MALARIA_ITN_COVERAGE,COUNTRY,RWA,AFR,Africa,YEAR,2022,,,,,,,,,69.39,69.3947896,,,,2025-12-19T14:59:35Z,2022,01/01/2022,31/12/2022,,,
5422667,MALARIA_ITN_COVERAGE,COUNTRY,MWI,AFR,Africa,YEAR,2024,,,,,,,,,36.7,36.7046284,,,,2025-12-19T14:59:35Z,2024,01/01/2024,31/12/2024,,,
8755581,MALARIA_ITN_COVERAGE,COUNTRY,ETH,AFR,Africa,YEAR,2016,,,,,,,,,32.66,32.664229,,,,2025-12-19T14:59:35Z,2016,01/01/2016,31/12/2016,,,
1582532,MALARIA_ITN_COVERAGE,COUNTRY,MWI,AFR,Africa,YEAR,2017,,,,,,,,,62.16,62.1627485,,,,2025-12-19T14:59:35Z,2017,01/01/2017,31/12/2017,,,
8282587,MALARIA_ITN_COVERAGE,COUNTRY,TCD,AFR,Africa,YEAR,2018,,,,,,,,,47.99,47.9910699,,,,2025-12-19T14:59:35Z,2018,01/01/2018,31/12/2018,,,
2058268,MALARIA_ITN_COVERAGE,COUNTRY,TZA,AFR,Africa,YEAR,2018,,,,,,,,,59.88,59.8767049,,,,2025-12-19T14:59:35Z,2018,01/01/2018,31/12/2018,,,
6568330,MALARIA_ITN_COVERAGE,COUNTRY,CAF,AFR,Africa,YEAR,2017,,,,,,,,,60.48,60.4848766,,,,2025-12-19T14:59:35Z,2017,01/01/2017,31/12/2017,,,
819207,MALARIA_ITN_COVERAGE,COUNTRY,MLI,AFR,Africa,YEAR,2023,,,,,,,,,74.03,74.0343085,,,,2025-12-19T14:59:35Z,2023,01/01/2023,31/12/2023,,,
5619128,MALARIA_ITN_COVERAGE,COUNTRY,COD,AFR,Africa,YEAR,2019,,,,,,,,,60.61,60.6052721,,,,2025-12-19T14:59:35Z,2019,01/01/2019,31/12/2019,,,
2809396,MALARIA_ITN_COVERAGE,COUNTRY,MLI,AFR,Africa,YEAR,2015,,,,,,,,,58.37,58.373424,,,,2025-12-19T14:59:35Z,2015,01/01/2015,31/12/2015,,,
9462000,MALARIA_ITN_COVERAGE,COUNTRY,LBR,AFR,Africa,YEAR,2023,,,,,,,,,61.25,61.252657,,,,2025-12-19T14:59:35Z,2023,01/01/2023,31/12/2023,,,
7384066,MALARIA_ITN_COVERAGE,COUNTRY,SEN,AFR,Africa,YEAR,2020,,,,,,,,,72.04,72.0425094,,,,2025-12-19T14:59:35Z,2020,01/01/2020,31/12/2020,,,
6404081,MALARIA_ITN_COVERAGE,COUNTRY,GMB,AFR,Africa,YEAR,2020,,,,,,,,,54.06,54.0600257,,,,2025-12-19T14:59:35Z,2020,01/01/2020,31/12/2020,,,
2191328,MALARIA_ITN_COVERAGE,COUNTRY,NER,AFR,Africa,YEAR,2022,,,,,,,,,84.85,84.8477157,,,,2025-12-19T14:59:35Z,2022,01/01/2022,31/12/2022,,,
2267274,MALARIA_ITN_COVERAGE,COUNTRY,ZMB,AFR,Africa,YEAR,2015,,,,,,,,,59.48,59.479442,,,,2025-12-19T14:59:35Z,2015,01/01/2015,31/12/2015,,,
8780944,MALARIA_ITN_COVERAGE,COUNTRY,SEN,AFR,Africa,YEAR,2019,,,,,,,,,68.34,68.3415555,,,,2025-12-19T14:59:35Z,2019,01/01/2019,31/12/2019,,,
9034905,MALARIA_ITN_COVERAGE,COUNTRY,MDG,AFR,Africa,YEAR,2015,,,,,,,,,67.16,67.1619426,,,,2025-12-19T14:59:35Z,2015,01/01/2015,31/12/2015,,,
4301591,MALARIA_ITN_COVERAGE,COUNTRY,SSD,AFR,Africa,YEAR,2018,,,,,,,,,46.39,46.3885894,,,,2025-12-19T14:59:35Z,2018,01/01/2018,31/12/2018,,,
1830295,MALARIA_ITN_COVERAGE,COUNTRY,GNB,AFR,Africa,YEAR,2017,,,,,,,,,46.15,46.1483111,,,,2025-12-19T14:59:35Z,2017,01/01/2017,31/12/2017,,,
9645193,MALARIA_ITN_COVERAGE,COUNTRY,DJI,EMR,Eastern Mediterranean,YEAR,2019,,,,,,,,,37.99,37.9915628,,,,2025-12-19T14:59:35Z,2019,01/01/2019,31/12/2019,,,
1022260,MALARIA_ITN_COVERAGE,COUNTRY,NGA,AFR,Africa,YEAR,2016,,,,,,,,,52.91,52.9137695,,,,2025-12-19T14:59:35Z,2016,01/01/2016,31/12/2016,,,
